customerID,targeting,revenue,satisfaction
1,Personalized Targeting,217.03,6
2,Personalized Targeting,181.27,7
3,Personalized Targeting,182.09,1
4,Segment-Based Targeting,180.97,10
5,Personalized Targeting,142.71,5
6,Segment-Based Targeting,115.86,0
7,Segment-Based Targeting,123.95,10
8,Segment-Based Targeting,163.75,9
9,Personalized Targeting,138.77,5
10,No Targeting,81.73,4
11,Segment-Based Targeting,211.26,9
12,Segment-Based Targeting,107.19,8
13,No Targeting,125.77,1
14,Segment-Based Targeting,136.22,2
15,Personalized Targeting,118.35,2
16,No Targeting,134.1,1
17,Personalized Targeting,188.81,9
18,Personalized Targeting,159.85,7
19,No Targeting,93.89,7
20,No Targeting,106.11,1
21,No Targeting,62.67,10
22,No Targeting,131.09,5
23,Personalized Targeting,146.13,6
24,Segment-Based Targeting,149.66,0
25,Personalized Targeting,151.48,6
26,Segment-Based Targeting,172.76,7
27,No Targeting,124.81,5
28,Segment-Based Targeting,221.25,10
29,Personalized Targeting,168.59,9
30,Segment-Based Targeting,139.02,0
31,No Targeting,90.31,6
32,Personalized Targeting,166.35,6
33,Personalized Targeting,130.84,2
34,No Targeting,136.48,0
35,Personalized Targeting,128.53,7
36,Segment-Based Targeting,153.47,9
37,No Targeting,108.42,10
38,Personalized Targeting,112.9,0
39,No Targeting,156.81,0
40,No Targeting,140,1
41,Segment-Based Targeting,105.45,1
42,Personalized Targeting,155.18,3
43,Personalized Targeting,130.81,10
44,No Targeting,101.69,9
45,Personalized Targeting,174.98,9
46,No Targeting,146.38,4
47,Personalized Targeting,187.69,8
48,Segment-Based Targeting,160.79,2
49,No Targeting,115.81,6
50,Segment-Based Targeting,40.68,6
51,No Targeting,136.15,1
52,No Targeting,146.77,1
53,Personalized Targeting,174.68,4
54,No Targeting,84.11,7
55,Segment-Based Targeting,153.88,3
56,No Targeting,149.15,3
57,No Targeting,75.84,6
58,Personalized Targeting,175.87,9
59,No Targeting,193.63,4
60,Segment-Based Targeting,90.52,1
61,No Targeting,143.87,1
62,Personalized Targeting,149.76,10
63,No Targeting,77.84,2
64,Personalized Targeting,132.31,5
65,Segment-Based Targeting,140.3,1
66,Personalized Targeting,147.73,9
67,Segment-Based Targeting,98.35,8
68,Segment-Based Targeting,132.06,2
69,Personalized Targeting,131.58,5
70,Segment-Based Targeting,162.19,2
71,Segment-Based Targeting,166.9,7
72,Personalized Targeting,149.62,0
73,Personalized Targeting,106.54,1
74,No Targeting,133.95,10
75,Segment-Based Targeting,81.47,4
76,Segment-Based Targeting,124.52,4
77,No Targeting,134.67,3
78,Segment-Based Targeting,167.06,10
79,No Targeting,139.21,6
80,No Targeting,148.54,2
81,Segment-Based Targeting,122.03,9
82,Personalized Targeting,120.08,6
83,Personalized Targeting,142.23,9
84,No Targeting,174.03,6
85,Segment-Based Targeting,171.66,1
86,No Targeting,111.24,1
87,Segment-Based Targeting,115.28,1
88,No Targeting,156.49,2
89,Personalized Targeting,166.59,7
90,Personalized Targeting,162.25,8
91,Segment-Based Targeting,75.79,0
92,Personalized Targeting,204.13,6
93,No Targeting,94.87,7
94,Segment-Based Targeting,151.87,0
95,Segment-Based Targeting,166.59,8
96,Personalized Targeting,196.03,2
97,Segment-Based Targeting,179.5,8
98,No Targeting,114.21,1
99,Personalized Targeting,176.52,10
100,Personalized Targeting,97.34,3
101,Personalized Targeting,159.25,7
102,Segment-Based Targeting,166.65,3
103,Segment-Based Targeting,129.88,10
104,Personalized Targeting,129.08,1
105,No Targeting,132.92,5
106,No Targeting,126.27,2
107,Personalized Targeting,113.55,6
108,Segment-Based Targeting,104.79,2
109,Segment-Based Targeting,175.36,6
110,Segment-Based Targeting,127.42,6
111,Segment-Based Targeting,84.42,6
112,Segment-Based Targeting,154.58,6
113,Segment-Based Targeting,125.84,7
114,Personalized Targeting,185.4,7
115,Segment-Based Targeting,167.77,0
116,No Targeting,110.38,4
117,Segment-Based Targeting,100.97,8
118,Segment-Based Targeting,213.79,0
119,Segment-Based Targeting,163.35,5
120,Personalized Targeting,180.7,8
